<<<<<<< HEAD
school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;F;22;R;GT3;A;1;4;other;at_home;home;mother;2;1;2;yes;no;no;yes;yes;no;yes;yes;1;4;2;4;4;5;8;9;14;12
GP;M;21;U;LE3;A;2;3;teacher;at_home;course;other;4;3;1;no;no;yes;yes;no;no;yes;yes;5;2;3;5;3;1;5;10;7;13
MS;F;15;R;LE3;T;4;3;teacher;other;reputation;other;1;2;1;no;yes;no;yes;no;yes;no;no;5;4;5;4;1;3;21;13;15;11
GP;F;17;U;LE3;A;0;0;at_home;services;reputation;mother;4;4;2;no;no;yes;no;no;yes;yes;no;4;5;2;3;5;3;20;13;8;12
GP;F;18;R;LE3;T;2;0;at_home;at_home;home;father;4;4;1;yes;no;no;no;yes;yes;yes;yes;5;5;1;4;2;1;10;13;13;8
GP;F;16;U;GT3;T;2;4;services;health;course;father;2;1;1;yes;no;no;no;yes;no;yes;yes;2;5;4;5;1;2;15;15;7;8
MS;M;22;U;GT3;T;3;3;at_home;health;reputation;father;3;1;0;yes;no;yes;yes;yes;yes;yes;no;1;1;2;1;2;1;18;5;16;17
GP;F;22;R;LE3;T;1;1;services;services;other;mother;3;3;2;no;no;yes;no;no;no;yes;yes;1;2;5;2;5;2;4;16;10;6
GP;F;22;R;LE3;A;2;0;teacher;teacher;reputation;father;4;2;2;no;no;yes;no;yes;yes;no;no;5;1;3;3;1;1;13;13;10;12
MS;F;20;U;LE3;A;2;4;health;teacher;home;mother;4;4;2;no;yes;yes;yes;no;yes;yes;yes;3;3;1;5;4;2;16;17;11;19
GP;M;18;U;LE3;T;4;3;other;teacher;course;mother;3;3;1;yes;yes;no;yes;yes;yes;yes;no;3;2;3;3;3;2;2;12;13;15
GP;F;22;R;LE3;A;4;3;teacher;health;home;other;3;4;2;yes;yes;no;no;no;yes;no;no;5;4;4;4;1;1;3;6;16;6
GP;M;18;U;LE3;T;0;1;at_home;teacher;other;father;2;1;2;no;yes;yes;no;yes;no;yes;no;2;5;2;3;5;2;15;17;11;13
GP;F;19;R;GT3;A;3;4;other;other;other;mother;1;4;0;yes;yes;yes;no;yes;no;yes;yes;3;3;2;5;1;4;15;15;18;18
GP;M;22;R;LE3;A;0;3;health;at_home;other;father;4;2;0;no;no;no;no;no;yes;yes;yes;5;2;5;2;2;5;20;5;5;8
MS;M;16;R;GT3;T;4;0;health;health;home;father;3;2;0;yes;yes;yes;yes;yes;no;no;yes;2;1;2;2;1;3;24;5;19;5
MS;F;18;R;GT3;A;1;1;services;services;reputation;other;4;1;1;yes;yes;no;yes;no;yes;yes;yes;2;5;1;3;4;2;3;16;12;17
MS;M;18;U;LE3;T;4;4;other;services;home;father;4;2;2;no;no;yes;yes;yes;yes;yes;yes;4;1;4;1;1;2;18;10;9;8
GP;F;16;R;GT3;A;3;1;services;at_home;course;other;3;2;0;yes;no;no;no;yes;yes;yes;no;2;2;3;3;3;3;16;13;13;7
GP;F;22;U;GT3;T;4;0;teacher;health;reputation;mother;2;3;0;yes;yes;no;no;no;yes;yes;no;3;2;4;4;1;2;12;11;14;16
GP;F;16;R;GT3;T;3;4;other;teacher;other;father;4;4;0;no;no;no;yes;no;no;yes;no;3;3;2;2;2;3;21;9;17;10
MS;M;18;U;GT3;A;3;1;teacher;teacher;home;mother;2;1;2;no;no;no;yes;no;yes;yes;no;5;4;3;2;1;1;22;15;19;11
GP;M;16;R;GT3;A;3;2;services;other;other;father;3;1;2;yes;no;no;no;yes;yes;yes;no;5;1;5;2;4;4;23;6;16;12
GP;F;18;U;GT3;T;3;0;other;other;other;mother;1;1;2;no;no;yes;no;no;no;yes;no;2;3;4;1;5;4;0;5;9;6
MS;F;18;U;LE3;A;3;0;services;teacher;course;father;1;1;1;yes;yes;no;yes;yes;yes;yes;no;1;5;3;1;1;5;11;6;9;10
GP;M;19;R;GT3;A;1;0;other;services;reputation;father;4;1;1;no;no;yes;yes;no;no;yes;yes;4;4;3;5;1;2;3;5;19;19
MS;F;15;R;GT3;T;0;2;services;services;course;father;3;2;0;yes;yes;no;yes;no;yes;yes;no;1;3;3;3;3;5;10;7;16;10
MS;F;18;R;GT3;T;2;2;health;other;course;father;2;3;2;yes;yes;no;no;no;yes;yes;yes;2;1;1;3;4;1;4;10;16;14
MS;F;22;R;LE3;A;0;3;services;at_home;course;father;4;1;0;no;no;yes;no;no;yes;yes;no;2;2;4;4;5;4;1;17;18;16
GP;M;17;U;GT3;T;3;1;health;teacher;other;father;3;3;2;yes;no;yes;no;no;yes;yes;no;1;5;3;2;2;1;16;12;6;9
GP;M;20;R;LE3;T;1;3;services;other;course;father;3;3;2;yes;no;yes;no;no;yes;yes;yes;4;1;4;1;1;1;7;7;16;14
GP;M;21;U;GT3;T;4;1;other;other;course;father;2;2;2;no;yes;yes;no;yes;yes;yes;no;1;4;3;4;5;2;5;14;15;14
GP;F;15;U;LE3;A;1;2;other;teacher;reputation;father;4;1;1;no;no;no;no;no;no;no;yes;5;4;5;4;2;1;20;13;7;11
GP;F;15;R;LE3;A;3;2;other;teacher;reputation;mother;3;2;1;yes;no;yes;yes;yes;yes;yes;no;3;2;5;1;4;4;8;14;14;7
GP;F;15;U;GT3;T;1;3;at_home;services;course;other;3;1;2;no;no;no;yes;no;no;no;yes;5;2;5;3;4;5;12;9;13;8
GP;M;19;U;GT3;A;1;4;teacher;at_home;reputation;father;3;2;0;no;no;yes;no;no;no;yes;no;3;5;2;2;5;4;10;11;11;14
MS;F;18;U;LE3;T;3;3;other;at_home;reputation;other;2;3;2;yes;no;yes;yes;no;yes;yes;yes;2;5;3;3;2;2;15;12;5;17
GP;F;19;U;GT3;A;1;1;health;teacher;course;father;4;1;2;yes;yes;no;no;yes;no;no;yes;4;2;2;4;4;4;15;7;7;13
MS;F;18;R;LE3;T;2;3;other;health;other;father;4;4;0;no;no;no;yes;yes;yes;yes;no;1;2;4;2;5;3;1;6;16;8
GP;F;22;R;LE3;T;2;0;at_home;other;course;mother;4;3;2;no;no;yes;no;no;no;yes;no;4;4;2;5;4;5;9;6;6;7
GP;M;19;R;LE3;A;1;1;health;other;reputation;mother;4;4;0;no;no;no;yes;yes;yes;yes;yes;1;2;4;4;4;3;11;9;5;18
GP;M;19;R;LE3;T;4;1;at_home;teacher;other;other;1;3;1;yes;yes;no;yes;no;no;yes;no;5;3;4;3;4;3;7;19;13;6
MS;F;20;U;LE3;A;3;4;health;health;home;mother;1;2;1;yes;no;no;no;no;no;yes;yes;5;1;4;3;3;2;10;5;12;9
MS;M;17;U;GT3;A;2;2;services;services;other;mother;4;1;0;yes;yes;no;no;yes;yes;yes;no;1;2;2;3;2;1;9;19;19;8
MS;M;19;R;LE3;T;4;1;teacher;teacher;reputation;other;2;3;1;yes;yes;no;yes;yes;no;yes;yes;4;5;3;1;5;3;12;6;9;17
MS;F;20;R;LE3;T;1;2;teacher;teacher;other;mother;1;2;1;yes;no;no;yes;yes;yes;yes;no;1;3;2;4;5;4;24;17;15;17
GP;F;16;R;GT3;A;4;3;at_home;other;course;father;3;1;0;yes;no;no;no;yes;yes;no;yes;2;5;3;2;2;1;16;13;16;12
MS;M;17;U;LE3;T;0;0;teacher;teacher;home;other;1;1;1;yes;no;no;yes;no;yes;yes;no;5;3;3;3;2;4;6;11;6;11
GP;F;22;R;GT3;T;2;4;at_home;teacher;home;other;3;3;2;no;yes;yes;no;yes;yes;yes;yes;2;2;4;3;2;4;23;19;5;10
GP;M;19;R;GT3;T;1;2;at_home;teacher;home;father;4;1;2;no;yes;no;no;yes;yes;no;yes;5;1;2;1;2;1;2;19;11;15
MS;F;21;R;GT3;T;3;1;at_home;other;reputation;mother;1;3;0;yes;yes;yes;yes;no;no;yes;no;5;5;3;2;1;1;19;10;17;16
MS;M;15;U;LE3;T;1;2;teacher;services;reputation;other;2;1;1;yes;yes;no;no;yes;no;yes;no;3;3;5;4;5;4;12;13;15;6
MS;F;16;U;LE3;A;3;1;at_home;services;home;other;1;4;2;yes;yes;no;yes;yes;no;yes;yes;2;4;3;5;1;2;18;11;15;7
MS;M;16;U;LE3;A;1;2;teacher;teacher;other;father;1;2;2;no;yes;no;yes;yes;yes;yes;yes;2;2;5;1;4;5;6;18;19;14
MS;M;22;U;GT3;T;4;1;at_home;other;home;father;1;4;1;yes;no;no;no;yes;no;yes;yes;3;1;2;4;4;5;8;15;6;13
MS;M;20;U;LE3;T;4;3;other;services;other;mother;4;3;1;no;no;yes;yes;no;no;yes;yes;4;2;2;5;5;2;18;9;5;17
MS;F;16;U;GT3;T;4;1;at_home;services;other;other;2;4;2;no;yes;yes;no;no;no;no;no;2;4;2;3;4;1;12;19;6;13
MS;M;17;U;LE3;A;0;1;health;services;reputation;mother;1;3;2;no;no;no;no;yes;no;yes;yes;1;1;3;3;2;4;21;13;11;19
GP;M;19;U;GT3;T;3;0;at_home;other;other;mother;2;1;0;no;no;yes;no;yes;no;yes;yes;3;4;1;2;1;5;7;10;11;9
MS;F;19;R;LE3;A;4;1;services;other;home;father;4;1;0;no;yes;no;yes;no;yes;yes;yes;2;2;3;5;2;4;21;10;14;18
MS;F;21;R;LE3;A;0;0;at_home;teacher;reputation;other;3;3;2;yes;yes;no;no;yes;yes;yes;no;4;3;3;3;4;2;17;15;10;7
GP;M;22;U;LE3;A;3;4;health;at_home;course;other;1;4;0;yes;no;yes;yes;yes;no;no;yes;2;2;4;3;1;4;22;8;9;6
MS;M;15;U;GT3;T;1;0;health;services;course;other;2;1;2;no;yes;yes;no;yes;yes;yes;no;5;2;4;2;2;2;1;17;7;12
GP;F;20;R;GT3;A;0;3;teacher;at_home;reputation;father;2;2;2;yes;yes;no;no;yes;yes;yes;no;1;2;3;4;5;1;17;16;18;19
GP;F;15;U;LE3;T;2;0;other;other;home;father;4;1;0;no;no;no;no;yes;no;yes;no;3;5;5;3;2;2;17;5;16;10
MS;F;16;U;LE3;A;0;4;at_home;other;course;father;1;2;0;no;yes;yes;yes;yes;no;yes;no;5;4;4;1;4;2;10;9;7;14
GP;F;22;U;GT3;T;0;3;teacher;other;course;father;3;4;1;yes;no;no;yes;yes;yes;yes;no;4;4;3;1;1;5;0;15;15;15
GP;F;21;R;GT3;A;3;2;other;at_home;other;father;2;2;1;yes;no;yes;no;yes;no;yes;no;5;4;1;4;5;4;13;13;17;16
GP;M;15;R;GT3;T;1;2;at_home;other;other;other;1;2;1;yes;no;no;no;yes;yes;no;no;5;5;5;5;1;5;15;17;16;11
GP;F;17;R;LE3;A;2;0;services;teacher;home;mother;3;2;2;yes;no;no;yes;no;yes;yes;yes;4;3;2;2;5;3;10;12;13;5
MS;M;19;R;GT3;T;4;0;at_home;other;reputation;other;2;2;0;yes;no;yes;yes;no;no;no;yes;5;2;3;1;1;2;0;12;8;5
GP;M;16;R;LE3;T;4;4;health;health;home;mother;2;1;2;no;yes;yes;yes;no;yes;yes;no;3;3;3;1;4;3;6;9;13;14
MS;M;21;U;GT3;T;0;4;health;at_home;reputation;father;3;2;0;yes;yes;yes;no;yes;yes;yes;yes;2;5;5;4;5;5;15;16;8;6
GP;F;15;R;LE3;T;3;1;services;health;course;mother;3;1;2;yes;yes;no;yes;yes;yes;no;yes;5;4;4;5;3;4;13;13;6;14
GP;M;20;U;GT3;A;3;4;teacher;other;other;other;4;2;1;yes;yes;no;no;no;no;yes;no;3;2;4;5;1;5;14;7;19;19
GP;M;17;U;GT3;A;4;1;other;teacher;home;other;1;3;1;no;no;no;yes;yes;no;yes;yes;2;1;4;4;1;4;13;7;8;7
GP;F;17;R;GT3;T;2;3;at_home;services;home;mother;1;4;1;yes;no;no;no;no;no;yes;no;2;1;2;1;2;4;20;5;10;16
MS;M;15;R;GT3;A;1;0;health;other;reputation;father;4;2;2;no;yes;yes;no;yes;no;yes;yes;5;3;5;2;5;1;10;13;10;5
MS;M;19;U;GT3;T;2;3;teacher;teacher;reputation;father;2;3;0;yes;no;no;no;no;yes;yes;no;3;4;5;1;3;2;15;10;9;18
GP;F;15;U;LE3;T;1;4;services;at_home;home;other;3;2;0;yes;yes;no;yes;no;no;yes;no;5;1;4;5;4;5;18;6;19;9
GP;M;16;U;GT3;A;4;3;health;health;reputation;mother;3;2;1;no;yes;no;yes;no;no;yes;yes;4;3;4;1;2;4;16;12;19;19
MS;M;15;R;GT3;T;1;3;services;health;home;father;3;2;1;yes;yes;yes;yes;yes;no;yes;yes;2;5;1;2;3;5;5;16;5;19
GP;M;17;R;GT3;T;3;3;at_home;health;home;father;2;3;1;yes;no;no;no;no;no;yes;no;5;3;1;3;5;5;10;13;7;7
GP;F;21;R;LE3;A;0;4;other;at_home;home;other;3;4;1;no;no;no;no;yes;yes;yes;no;2;3;3;1;3;4;16;13;9;5
GP;F;15;R;GT3;T;0;3;health;teacher;course;father;3;3;0;yes;no;yes;yes;yes;yes;yes;no;3;3;3;4;1;3;8;6;10;12
MS;F;19;R;LE3;T;4;1;health;at_home;reputation;mother;4;4;2;no;no;no;no;yes;yes;no;yes;1;2;5;3;1;2;17;6;18;16
MS;M;22;U;GT3;T;3;4;at_home;health;other;other;2;2;2;no;yes;no;no;yes;no;yes;yes;5;3;5;4;2;2;16;17;5;15
MS;M;21;R;GT3;T;2;3;teacher;other;other;other;1;1;2;no;no;yes;no;yes;no;yes;yes;5;3;2;4;5;1;11;11;18;10
GP;F;20;U;LE3;A;3;4;other;services;reputation;mother;4;2;2;no;no;no;yes;yes;yes;no;yes;2;2;2;4;5;1;22;15;18;13
GP;M;18;U;GT3;A;0;2;health;at_home;home;other;4;4;1;no;no;no;no;yes;no;yes;no;3;2;1;1;3;1;21;8;13;7
MS;M;15;U;LE3;A;0;1;other;at_home;other;father;1;3;1;yes;yes;no;yes;no;no;no;no;4;5;3;5;2;2;21;17;18;13
MS;F;19;R;LE3;T;3;3;health;teacher;other;father;4;2;1;yes;yes;yes;yes;no;yes;yes;no;3;4;1;3;5;3;4;5;7;13
MS;F;21;R;GT3;T;3;2;other;teacher;reputation;mother;2;3;2;yes;no;no;yes;no;yes;yes;no;5;1;1;2;1;2;10;12;14;19
MS;M;19;R;LE3;A;0;2;services;at_home;other;father;3;3;1;no;no;no;yes;yes;no;yes;yes;4;1;3;5;3;2;3;6;17;16
GP;M;20;U;GT3;T;2;4;health;health;home;mother;2;3;1;no;no;yes;yes;yes;no;yes;no;3;3;2;1;4;2;3;18;7;19
MS;M;17;U;GT3;T;4;2;other;services;reputation;mother;1;2;0;no;no;yes;no;yes;no;yes;no;1;5;3;4;1;2;2;7;15;17
GP;F;19;U;LE3;T;4;1;teacher;teacher;home;father;1;3;0;no;yes;no;yes;yes;yes;yes;yes;2;3;4;2;2;3;23;9;6;16
MS;F;21;U;LE3;T;3;1;services;health;other;mother;4;3;1;yes;no;no;yes;no;yes;yes;yes;3;1;4;3;5;1;22;18;12;5
GP;F;19;U;LE3;A;4;0;services;other;other;father;2;2;0;yes;no;no;yes;yes;yes;yes;no;3;2;4;5;1;5;24;7;19;7
MS;F;19;U;LE3;A;0;1;teacher;teacher;home;other;2;3;0;no;no;no;no;no;yes;yes;yes;1;4;5;5;4;1;16;11;17;10
MS;M;19;R;GT3;A;0;2;other;health;course;other;1;2;1;no;yes;yes;no;yes;no;yes;no;5;5;2;2;4;1;6;11;7;12
MS;F;16;R;GT3;T;3;1;at_home;health;other;mother;2;4;1;yes;yes;no;no;no;yes;yes;yes;2;2;2;1;2;5;3;18;10;8
MS;F;16;R;LE3;A;3;4;teacher;services;course;father;1;4;1;no;no;yes;no;yes;yes;yes;yes;3;4;5;3;1;2;22;6;6;9
GP;F;17;R;GT3;A;3;0;other;services;other;father;2;4;1;no;no;yes;yes;no;no;no;no;4;5;1;2;3;3;12;17;11;13
MS;F;15;U;GT3;T;2;2;teacher;other;course;other;2;3;2;no;no;no;yes;yes;no;yes;yes;3;5;4;4;1;3;11;17;17;10
GP;F;19;U;GT3;T;4;0;teacher;health;course;other;2;1;2;yes;no;no;no;no;no;no;no;2;1;4;3;4;1;0;11;8;16
GP;M;20;R;GT3;A;3;2;health;health;course;father;1;1;1;yes;no;yes;no;yes;yes;yes;yes;3;2;1;5;2;5;20;15;13;11
GP;M;15;U;LE3;A;1;4;other;services;home;mother;4;3;0;no;yes;yes;no;no;no;yes;yes;1;5;3;2;2;4;18;10;18;11
GP;F;20;R;LE3;A;1;0;at_home;teacher;course;other;2;1;1;yes;yes;no;no;no;no;yes;yes;3;5;3;5;3;2;20;14;14;8
MS;M;15;R;GT3;A;0;3;health;teacher;course;mother;1;2;1;no;yes;yes;yes;yes;yes;yes;yes;3;4;2;5;2;1;19;13;13;8
GP;F;17;R;LE3;T;4;2;teacher;at_home;course;mother;1;1;0;no;no;no;no;no;yes;yes;yes;4;1;5;5;2;3;17;17;11;8
GP;F;19;U;LE3;A;3;3;teacher;services;other;other;2;3;2;yes;yes;no;no;yes;no;yes;no;1;3;2;1;2;5;10;13;19;18
GP;M;19;R;LE3;A;1;0;teacher;at_home;course;mother;2;3;1;no;yes;yes;no;yes;yes;yes;yes;1;1;3;5;2;5;19;6;16;19
MS;M;18;R;GT3;T;4;3;other;services;other;mother;4;2;1;no;yes;yes;no;yes;no;yes;no;3;3;1;4;2;1;2;11;12;15
MS;F;20;R;GT3;A;0;3;other;other;course;father;1;4;2;yes;no;no;no;no;no;yes;yes;4;2;2;4;4;4;16;9;7;9
MS;F;15;U;GT3;T;2;0;health;health;course;mother;1;3;2;no;no;yes;no;no;yes;yes;no;3;2;4;3;1;3;11;17;15;9
MS;F;15;U;LE3;T;4;4;at_home;other;home;father;3;2;0;no;yes;no;no;yes;no;yes;yes;3;5;4;5;5;1;9;10;9;12
GP;M;22;R;GT3;T;4;3;health;services;other;other;1;1;2;no;no;no;yes;yes;yes;yes;no;2;2;1;5;2;4;7;5;6;13
GP;F;22;U;GT3;A;2;3;services;health;course;other;4;1;2;yes;yes;no;yes;no;yes;yes;no;2;5;3;2;5;5;14;11;14;6
MS;F;16;U;LE3;A;4;4;teacher;teacher;other;father;3;2;2;no;yes;yes;yes;no;yes;yes;yes;4;1;4;1;5;2;4;10;11;15
GP;F;18;U;GT3;T;0;3;teacher;teacher;other;other;3;2;0;yes;yes;no;yes;no;no;yes;yes;5;2;4;3;4;3;3;8;17;11
GP;M;21;U;GT3;A;0;3;teacher;at_home;reputation;mother;3;3;2;no;yes;no;yes;yes;yes;yes;yes;2;1;5;5;2;3;20;5;12;5
GP;F;22;U;LE3;A;2;3;health;services;home;mother;2;1;2;no;no;no;yes;yes;yes;yes;no;5;1;2;2;5;4;19;13;13;5
MS;F;21;U;LE3;T;3;1;health;services;home;mother;2;2;0;no;no;no;no;yes;no;yes;no;1;2;3;1;2;1;18;8;15;8
MS;M;16;U;LE3;T;1;4;teacher;teacher;home;other;1;1;2;no;no;no;no;yes;no;yes;yes;2;1;2;3;3;5;20;6;15;14
GP;F;16;U;GT3;A;3;3;health;other;reputation;mother;3;2;2;yes;no;no;yes;yes;no;yes;yes;2;2;3;3;3;4;3;12;11;11
MS;F;16;U;GT3;T;4;4;other;health;reputation;other;4;1;0;yes;yes;no;no;no;no;no;no;4;2;4;5;3;2;14;6;14;6
MS;M;20;U;GT3;A;1;2;other;other;home;mother;2;4;1;no;no;no;yes;yes;yes;no;no;5;2;5;3;5;2;16;9;19;15
MS;F;20;R;LE3;A;2;2;health;other;reputation;father;4;3;0;no;yes;no;no;no;yes;yes;yes;2;3;2;2;3;2;11;15;14;6
MS;M;17;R;LE3;A;2;3;teacher;teacher;reputation;other;4;1;2;no;no;no;no;no;yes;yes;no;2;1;4;3;4;4;2;10;17;5
MS;M;17;U;GT3;A;1;4;health;teacher;reputation;other;2;4;2;no;no;no;no;yes;no;yes;yes;4;4;3;4;4;5;9;15;12;14
GP;F;16;R;GT3;T;0;4;health;teacher;home;mother;2;1;2;no;no;yes;no;no;no;yes;yes;4;2;2;2;5;3;14;17;16;6
MS;F;18;R;LE3;T;1;4;health;at_home;home;other;2;1;0;no;yes;no;no;yes;yes;yes;yes;5;1;2;1;2;1;9;12;13;17
GP;F;15;U;LE3;T;4;1;services;other;home;other;2;4;2;no;yes;no;no;no;no;yes;no;1;5;4;1;1;3;23;15;10;19
GP;F;20;U;LE3;T;0;2;other;services;reputation;father;3;1;2;no;yes;no;yes;yes;no;no;no;1;2;2;5;2;5;22;5;16;11
MS;M;18;U;LE3;A;2;4;at_home;health;home;father;3;1;0;yes;yes;yes;yes;yes;yes;yes;no;3;2;5;5;2;3;17;5;16;13
GP;F;19;R;GT3;A;1;4;at_home;at_home;reputation;mother;3;3;1;yes;no;no;no;no;yes;yes;no;2;4;5;4;2;4;0;16;14;10
GP;M;20;R;LE3;T;3;1;services;services;course;father;3;4;1;yes;yes;yes;yes;yes;no;yes;yes;5;3;4;1;2;2;2;8;6;14
GP;F;20;U;GT3;A;3;1;health;other;reputation;mother;1;4;2;no;yes;no;no;no;no;yes;no;2;3;3;1;1;5;20;9;6;6
MS;F;17;U;GT3;A;4;4;services;teacher;other;mother;3;2;0;no;no;no;yes;yes;no;yes;yes;5;2;4;1;3;5;11;17;8;16
MS;F;15;U;GT3;A;3;0;services;other;home;mother;2;1;2;no;no;yes;no;yes;yes;no;yes;5;1;5;1;2;3;0;19;19;19
GP;M;15;R;LE3;T;1;4;teacher;health;home;other;4;3;0;yes;yes;no;yes;yes;yes;yes;yes;5;5;1;3;4;4;2;17;13;14
MS;F;22;R;LE3;T;1;4;other;at_home;other;father;3;1;0;no;no;yes;no;no;yes;yes;no;2;5;1;2;5;3;2;13;11;19
MS;F;21;R;LE3;T;3;1;at_home;at_home;reputation;mother;1;1;1;yes;yes;yes;yes;no;yes;yes;yes;4;1;2;2;5;3;4;15;6;14
MS;F;21;R;LE3;A;1;1;health;health;course;father;2;2;1;no;no;no;no;yes;yes;yes;yes;2;2;2;4;4;5;18;18;12;17
MS;F;21;U;GT3;T;4;4;at_home;services;other;mother;4;1;0;yes;yes;no;yes;no;no;yes;no;5;5;1;3;2;3;24;11;15;13
GP;M;21;U;LE3;T;0;4;at_home;services;other;father;4;3;2;yes;yes;no;no;yes;no;yes;yes;3;3;5;1;1;2;0;11;11;11
GP;F;19;U;LE3;T;4;4;other;at_home;reputation;father;3;3;1;yes;yes;no;no;no;no;yes;no;1;1;2;1;3;3;3;12;13;15
MS;M;19;U;GT3;T;4;1;at_home;at_home;home;mother;4;2;2;no;yes;yes;no;no;yes;no;no;5;4;4;5;5;2;3;19;12;5
MS;M;20;R;LE3;T;1;4;at_home;teacher;reputation;other;3;1;1;yes;yes;yes;yes;yes;yes;yes;no;3;2;4;5;3;5;16;9;7;16
GP;M;16;R;GT3;T;0;4;services;services;other;father;3;3;1;no;no;no;yes;yes;yes;yes;yes;4;1;5;4;1;4;13;9;5;13
GP;M;17;U;GT3;A;1;3;other;health;other;other;2;1;2;no;yes;yes;yes;yes;no;yes;no;5;5;2;1;5;2;17;5;6;6
MS;M;17;U;GT3;A;2;0;teacher;services;home;other;2;1;1;no;yes;yes;no;yes;yes;yes;no;3;2;4;4;3;4;0;18;19;8
GP;M;21;R;GT3;T;1;2;health;teacher;home;mother;1;1;1;no;yes;no;yes;yes;yes;yes;no;5;3;2;3;1;4;21;13;18;13
MS;F;20;U;GT3;T;1;0;at_home;at_home;home;mother;2;2;2;no;yes;yes;no;no;no;yes;no;2;2;2;2;3;2;15;10;17;8
MS;M;22;R;GT3;A;1;3;health;at_home;reputation;mother;2;1;1;yes;yes;yes;yes;no;yes;yes;yes;3;2;4;1;2;5;2;13;6;7
GP;M;18;U;GT3;A;0;2;teacher;teacher;home;father;3;3;1;no;no;no;yes;yes;no;yes;no;2;3;1;3;1;1;22;7;8;5
GP;M;16;U;GT3;T;1;4;health;health;other;mother;2;1;1;no;no;yes;yes;yes;yes;yes;yes;2;3;4;1;3;4;20;9;10;11
MS;F;20;U;LE3;T;0;3;teacher;at_home;other;mother;3;3;2;no;yes;no;yes;yes;yes;no;no;3;2;5;5;2;4;8;6;8;19
MS;F;16;U;LE3;T;3;4;services;other;course;father;3;1;0;no;no;yes;no;no;no;yes;yes;1;3;3;4;2;5;22;14;13;10
GP;M;16;U;LE3;T;2;1;at_home;at_home;reputation;father;2;3;2;no;yes;no;yes;yes;no;yes;no;3;1;4;5;1;5;3;9;8;14
MS;F;16;U;LE3;A;0;3;teacher;other;course;mother;1;3;0;yes;no;yes;yes;yes;no;yes;yes;1;3;2;2;4;3;20;19;10;8
GP;M;20;U;GT3;T;3;1;health;teacher;other;mother;1;1;1;yes;no;yes;no;no;no;no;no;5;3;2;5;5;5;4;17;10;10
MS;M;21;R;LE3;T;0;3;at_home;teacher;course;mother;4;1;0;no;yes;no;no;no;no;yes;yes;5;2;4;1;1;4;10;17;14;10
GP;F;17;R;GT3;T;0;3;services;at_home;other;mother;4;3;2;yes;no;no;yes;no;no;yes;yes;3;1;3;5;2;2;20;17;15;17
GP;M;17;R;LE3;T;2;1;at_home;services;course;other;2;4;2;yes;no;no;yes;no;yes;yes;yes;5;4;4;1;2;1;8;19;14;8
GP;F;21;R;LE3;A;4;2;teacher;other;home;other;1;2;1;no;yes;no;no;yes;yes;yes;no;4;4;3;2;1;3;2;18;5;18
MS;F;16;R;LE3;A;4;0;services;health;course;mother;3;4;0;yes;yes;yes;no;no;no;yes;yes;2;5;3;5;4;2;5;12;12;17
MS;M;18;U;GT3;A;0;4;health;at_home;home;other;4;4;1;no;no;yes;no;no;yes;yes;yes;2;3;5;4;5;1;23;15;16;10
GP;M;15;U;LE3;T;1;3;services;health;home;father;3;1;1;yes;no;yes;yes;yes;no;yes;yes;1;3;2;4;3;1;10;6;7;14
MS;F;20;R;GT3;T;3;4;services;at_home;reputation;other;4;2;2;yes;no;no;yes;yes;yes;yes;yes;5;1;2;4;1;1;8;12;19;15
GP;M;15;U;GT3;A;1;1;other;services;home;other;2;4;0;yes;yes;yes;yes;yes;no;yes;no;1;4;3;5;5;2;14;8;17;12
GP;M;22;R;LE3;T;1;4;services;services;home;mother;1;1;0;no;no;yes;no;no;yes;yes;yes;2;5;2;5;5;3;22;14;10;17
MS;M;21;R;LE3;T;0;1;services;services;course;other;4;4;0;yes;no;no;no;yes;yes;yes;yes;2;1;1;5;2;3;2;14;7;7
MS;F;18;U;LE3;A;0;4;at_home;services;other;other;1;4;0;yes;no;no;no;no;yes;yes;yes;5;3;3;1;3;1;0;19;19;8
GP;F;20;U;GT3;A;0;0;health;teacher;reputation;other;3;1;1;no;yes;yes;yes;no;yes;no;no;4;4;2;2;1;2;19;5;15;14
MS;M;21;U;LE3;A;0;0;at_home;teacher;home;other;2;1;1;no;yes;no;no;no;yes;no;yes;4;5;1;4;2;1;21;17;6;17
MS;F;16;R;GT3;A;4;0;at_home;other;reputation;father;1;1;2;yes;yes;yes;yes;yes;no;no;yes;5;2;5;1;2;5;18;9;19;16
GP;F;17;U;GT3;T;0;0;teacher;health;course;mother;2;2;1;no;yes;yes;no;no;no;yes;yes;5;4;2;4;4;3;13;17;9;18
GP;F;15;R;LE3;T;4;0;at_home;at_home;home;mother;1;4;1;yes;no;no;yes;yes;no;yes;yes;1;5;1;1;5;4;16;5;18;19
MS;F;19;R;LE3;A;4;0;other;at_home;course;father;3;1;2;yes;yes;yes;yes;yes;yes;yes;no;5;1;4;5;1;1;21;11;5;5
GP;F;19;R;GT3;T;0;1;other;teacher;reputation;other;3;3;2;no;no;no;no;yes;no;yes;yes;4;2;4;4;1;5;13;12;13;8
